sample_id,method,title,gold_keywords,pred_keywords
csl_000015,TF-IDF,锌对孕期暴露脂多糖Wistar大鼠雌性成年子代行为的影响及其机制,锌;孕期;大鼠;脂多糖;子代;应激反应,SAL;LPS;子代;孕期;大鼠;雌性;成年;ZnSO4;0.05;0.001
csl_000016,TF-IDF,改进的遗传优化算法在节点定位中的应用,动力学;遗传算法;定位算法;精度,算法;定位;遗传算法;节点;DV;信标;网络;改进;定位精度;进化
csl_000017,TF-IDF,求真务实 追求发展--黑龙江省图书馆学会工作新途径,学会工作;发展;创新,图书馆学;勇于创新;求真务实;管理手段;整体素质;来临;新途径;运行机制;知识经济;工作
csl_000018,TF-IDF,非水合质子导电膜材料的研究与应用,水合;质子导电材料;膜材料;电化学传感器;质子导体;质子传导;生物系统;技术领域;材料科学;蒸汽;学科;电解;电池,质子;导电;材料科学;导体;水合;材料;电解;传导;蒸汽;中起
csl_000019,TF-IDF,超越结构功能主义:中国传播学的前世、今生与未来,结构;功能主义;中国;传播学;现实场景;社会巨变;历史;技术变革;对话;断裂现象;注意力;思想史;观念史;转向;学科;书写;时代;单位;编织,传播学;福柯;我们;以为;这次;确凿;史无前例;一页;哪个;功能主义
csl_000020,TF-IDF,TPV系统热辐射发电模块数值分析,TPV;系统输出电能密度;电池效率,辐射器;电池;SiC;温度;电能;系统;输出;热辐射;cm;密度
csl_000001,TextRank,分布式系统中的检查点算法,检查点;分布式程序;异步检查点算法;一致检查点算法,算法;检查点;减少;进程;改进;本文;分为;程序;分布式;分布式系统
csl_000002,TextRank,轧辊的失效及其修复技术,冷轧辊;热轧辊;失效;修复;表面改性技术,轧辊;修复;技术;失效;工作;条件;及其;表面;工具;由于
csl_000003,TextRank,活检钳不同预清洗方法的清洗质量评价,活检钳;清洗方法;预清洗;清洗质量;潜血试验;ATP 生物荧光检测,清洗;00;质量;检测;活检;进行;器械;合格率;方法;采用
csl_000004,TextRank,Rhn(n=2～20)团簇结构和磁特性,铑团簇;遗传算法;结构;磁性,平均;束缚;结构;计算;团簇;Rhn;电子;使用;原子;特性
csl_000005,TextRank,一种反激式DC-DC变换器设计与研究,反激式DC-DC变换器;寄生参数;钳位电路,设计;变换器;参数;DC;电路;开关;钳位;实验;反激式;一种
csl_000006,TextRank,航天测控系统卫星鉴定技术研究,卫星鉴定;SLR卫星;EMBET;高斯-马尔可夫估计;主成分估计,鉴定;卫星;方法;技术;系统;测控;航天;分析;统计;可行性
csl_000007,TextRank,不同能量摄入对围产期奶牛脂肪组织胰岛素受体mRNA丰度的影响,能量摄入;围产期奶牛;脂肪组织;胰岛素受体mRNA;半定量RT-PCR方法,产后;奶牛;摄入;能量;饲喂;mRNA;日粮;14;InsR;高能
csl_000008,TextRank,重大军事行动报道的成功实践——兼谈对外开放军事行动中新闻的管控与发布,重大军事行动;成功实践;对外开放;新闻;军事演习;合作组织;训练场;俄罗斯;城市车;成员国;中部;使命;上海;合同;反恐,军事行动;合同;库尔;巴尔;车里雅宾斯克;城市;中部;俄罗斯;17;军事演习
csl_000009,TextRank,不忘艺术初心搞好高校“双创”,文化建设;高校;艺术教育;双创;中国特色的艺术学;可持续发展,艺术;双创;教育;高校;精神;总书记;习近平;一种;真正;一批
csl_000010,TextRank,一种业务概念模型驱动的需求分析与获取方法,军事电子信息系统;需求工程;需求建模;业务语义框架;业务概念模型,方法;需求;建模;定义;基础;信息系统;一个;框架;电子;军事
csl_000011,TextRank,暖温带幼林树轮宽度气候变化响应分析--以山东蒙山黑松树轮气候研究为例,蒙山;黑松;树轮宽度;气候响应,蒙山;宽度;松树;黑松;气候;生长;变化;径向;年表;树轮
csl_000012,TextRank,关于集成化汽车故障诊断系统及其支持技术研究,汽车;故障诊断;集成系统;网络化,故障诊断;系统;汽车;集成化;检测;信息;获取;模块;支持;技术
csl_000013,TextRank,北秦岭西段胡店片麻状二长花岗岩LA-ICP-MS锆石U-Pb测年及其地质意义,北秦岭造山带;胡店片麻状二长花岗岩;U-Pb同位素;吕梁运动;ColuInbia超大陆,构造;秦岭;形成;花岗岩;西段;大陆;时代;中国;岩浆;资料
csl_000014,TextRank,太阳河自然保护区西南桦天然次生林乔木种群生态位分析,西南桦林;红木荷;重要值;生态位宽度;生态位重叠;相关性分析,种群;生态;西南;宽度;重要;天然;重叠;次生林;存在;群落
csl_000015,TextRank,锌对孕期暴露脂多糖Wistar大鼠雌性成年子代行为的影响及其机制,锌;孕期;大鼠;脂多糖;子代;应激反应,大鼠;LPS;子代;成年;雌性;孕期;0.05;SAL;ZnSO4;行为
csl_000016,TextRank,改进的遗传优化算法在节点定位中的应用,动力学;遗传算法;定位算法;精度,算法;定位;节点;遗传算法;网络;GADO;改进;明显;误差;减少
csl_000017,TextRank,求真务实 追求发展--黑龙江省图书馆学会工作新途径,学会工作;发展;创新,工作;图书馆学;这方面;黑龙江省;学会;介绍;整体素质;队伍;学术;区域
csl_000018,TextRank,非水合质子导电膜材料的研究与应用,水合;质子导电材料;膜材料;电化学传感器;质子导体;质子传导;生物系统;技术领域;材料科学;蒸汽;学科;电解;电池,质子;材料;导电;发展;领域;技术;材料科学;近年来;较为;生物
csl_000019,TextRank,超越结构功能主义:中国传播学的前世、今生与未来,结构;功能主义;中国;传播学;现实场景;社会巨变;历史;技术变革;对话;断裂现象;注意力;思想史;观念史;转向;学科;书写;时代;单位;编织,我们;传播学;中国;这次;福柯;以为;历史;单位;广阔;世纪
csl_000020,TextRank,TPV系统热辐射发电模块数值分析,TPV;系统输出电能密度;电池效率,电池;辐射器;系统;温度;输出;GaSb;SiC;效率;电能;密度
csl_000001,KeyBERT,分布式系统中的检查点算法,检查点;分布式程序;异步检查点算法;一致检查点算法,分布式系统检查点;算法检查点;改进算法;检查点算法;算法主要;算法分布式;算法进行;算法分为;主存算法;算法性能
csl_000002,KeyBERT,轧辊的失效及其修复技术,冷轧辊;热轧辊;失效;修复;表面改性技术,轧辊修复;修复轧辊;轧辊工作;轧辊轧机;轧辊失效;技术轧辊;常用轧辊;轧辊发展前景;轧辊;综述轧辊
csl_000003,KeyBERT,活检钳不同预清洗方法的清洗质量评价,活检钳;清洗方法;预清洗;清洗质量;潜血试验;ATP 生物荧光检测,清洗方法;方法清洗;不同清洗;清洗质量;清洗配合;机械清洗;清洗活检;较为理想清洗;手工清洗;进行清洗
csl_000004,KeyBERT,Rhn(n=2～20)团簇结构和磁特性,铑团簇;遗传算法;结构;磁性,原子平均;计算Rhn;计算原子;平均束缚;电子密度;平均电子;团簇平均;结构电子;CN原子;5p价电子
csl_000005,KeyBERT,一种反激式DC-DC变换器设计与研究,反激式DC-DC变换器;寄生参数;钳位电路,NCP1200电流;DC变换器;电流PWM;电池电源;计算方法电路;阻尼电路;针对电池;电路;电路各种;采用NCP1200
csl_000006,KeyBERT,航天测控系统卫星鉴定技术研究,卫星鉴定;SLR卫星;EMBET;高斯-马尔可夫估计;主成分估计,卫星鉴定;基于卫星;利用卫星;系统卫星;卫星进行;航天测控;精度鉴定;卫星航天;鉴定技术;卫星
csl_000007,KeyBERT,不同能量摄入对围产期奶牛脂肪组织胰岛素受体mRNA丰度的影响,能量摄入;围产期奶牛;脂肪组织;胰岛素受体mRNA;半定量RT-PCR方法,奶牛脂肪组织;奶牛饲养标准;干乳期低能;产奶量大于;饲喂增加;健康奶牛;奶牛饲喂;相同产奶量;脂肪组织胰岛素;围产期奶牛
csl_000008,KeyBERT,重大军事行动报道的成功实践——兼谈对外开放军事行动中新闻的管控与发布,重大军事行动;成功实践;对外开放;新闻;军事演习;合作组织;训练场;俄罗斯;城市车;成员国;中部;使命;上海;合同;反恐,对外开放军事行动;联合军事行动;军事行动新闻;重大军事行动;军事行动报道;军事行动;反恐军事演习;军事行动和平;军事演习;军事演习17
csl_000009,KeyBERT,不忘艺术初心搞好高校“双创”,文化建设;高校;艺术教育;双创;中国特色的艺术学;可持续发展,教育双创;学会双创;培养学会;教育两种;教育两者;认真学习领悟;思维能力培养;教育初心;教育一种;强调思维能力
csl_000010,KeyBERT,一种业务概念模型驱动的需求分析与获取方法,军事电子信息系统;需求工程;需求建模;业务语义框架;业务概念模型,需求分析;概念模型;概念模型驱动;业务概念模型;描述建模;信息系统开发;概念框架;需求描述语言;建模方法;框架需求
csl_000011,KeyBERT,暖温带幼林树轮宽度气候变化响应分析--以山东蒙山黑松树轮气候研究为例,蒙山;黑松;树轮宽度;气候响应,气候变化响应分析;树轮气候;气候因子探讨;宽度气候变化;范围气候变化;气候研究;气候因子;气候变化关联;密切气候因子;松树气候
csl_000012,KeyBERT,关于集成化汽车故障诊断系统及其支持技术研究,汽车;故障诊断;集成系统;网络化,故障诊断专家系统;故障诊断系统;系统分析模块;故障诊断网络;多元化故障诊断;系统分析;构成系统分析;标准化故障诊断;汽车故障诊断;故障诊断知识
csl_000013,KeyBERT,北秦岭西段胡店片麻状二长花岗岩LA-ICP-MS锆石U-Pb测年及其地质意义,北秦岭造山带;胡店片麻状二长花岗岩;U-Pb同位素;吕梁运动;ColuInbia超大陆,岩石地球化学;形成地质;花岗岩形成;岩浆源于;环境岩浆;年龄岩石;地球化学资料;岩浆事件;花岗岩;地质构造
csl_000014,KeyBERT,太阳河自然保护区西南桦天然次生林乔木种群生态位分析,西南桦林;红木荷;重要值;生态位宽度;生态位重叠;相关性分析,次生林种群;15.17%生态;宽度生态;生态宽度;天然次生林;种群生态;自然保护区西南;生态分析;重要生态;自然保护区
csl_000015,KeyBERT,锌对孕期暴露脂多糖Wistar大鼠雌性成年子代行为的影响及其机制,锌;孕期;大鼠;脂多糖;子代;应激反应,孕期暴露;探讨硫酸锌;硫酸锌ZnSO4;硫酸锌;代谢率;孕期9.5;神经营养;ZnSO4注射液;间期大鼠;15孕期
csl_000016,KeyBERT,改进的遗传优化算法在节点定位中的应用,动力学;遗传算法;定位算法;精度,算法遗传算法;遗传算法迭代;遗传算法进行;计算遗传算法;遗传算法;GADO算法;算法GADO;改进算法;优化算法;遗传优化
csl_000017,KeyBERT,求真务实 追求发展--黑龙江省图书馆学会工作新途径,学会工作;发展;创新,省级图书馆学;图书馆学会应;图书馆学工作;黑龙江省图书馆学;图书馆学;随着知识经济;知识经济;发展黑龙江省;知识经济时代;区域学术
csl_000018,KeyBERT,非水合质子导电膜材料的研究与应用,水合;质子导电材料;膜材料;电化学传感器;质子导体;质子传导;生物系统;技术领域;材料科学;蒸汽;学科;电解;电池,质子导电;质子导体;近年来材料科学;作用质子;电池电化学;传导质子;质子传导;材料电池;导体近年来;材料科学
csl_000019,KeyBERT,超越结构功能主义:中国传播学的前世、今生与未来,结构;功能主义;中国;传播学;现实场景;社会巨变;历史;技术变革;对话;断裂现象;注意力;思想史;观念史;转向;学科;书写;时代;单位;编织,观念思想史;思想史等等;中国传播学;功能主义中国;思想史;称为观念;传播学历史;既有传播学;书写中国;传播学前世
csl_000020,KeyBERT,TPV系统热辐射发电模块数值分析,TPV;系统输出电能密度;电池效率,热辐射发电;辐射器温度;温度电池;系统热辐射;温度对系统;电池温度;辐射能量;TPV系统;热辐射;发电模块
